sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_2963,experiment/laterality/edits/sample_2963_original.png,experiment/laterality/edits/sample_2963_edited.png,experiment/laterality/edits/sample_2963_reversed.png,left,right,3.991331,0.002622
sample_2964,experiment/laterality/edits/sample_2964_original.png,experiment/laterality/edits/sample_2964_edited.png,experiment/laterality/edits/sample_2964_reversed.png,left,right,4.823466,0.002301
sample_2965,experiment/laterality/edits/sample_2965_original.png,experiment/laterality/edits/sample_2965_edited.png,experiment/laterality/edits/sample_2965_reversed.png,left,right,4.189002,0.002838
sample_2966,experiment/laterality/edits/sample_2966_original.png,experiment/laterality/edits/sample_2966_edited.png,experiment/laterality/edits/sample_2966_reversed.png,left,right,4.138075,0.002100
sample_2967,experiment/laterality/edits/sample_2967_original.png,experiment/laterality/edits/sample_2967_edited.png,experiment/laterality/edits/sample_2967_reversed.png,right,left,4.090589,0.002140
sample_2968,experiment/laterality/edits/sample_2968_original.png,experiment/laterality/edits/sample_2968_edited.png,experiment/laterality/edits/sample_2968_reversed.png,left,right,5.039683,0.004611
sample_2969,experiment/laterality/edits/sample_2969_original.png,experiment/laterality/edits/sample_2969_edited.png,experiment/laterality/edits/sample_2969_reversed.png,left,right,4.043446,0.005314
sample_2970,experiment/laterality/edits/sample_2970_original.png,experiment/laterality/edits/sample_2970_edited.png,experiment/laterality/edits/sample_2970_reversed.png,right,left,3.787432,0.003292
sample_2971,experiment/laterality/edits/sample_2971_original.png,experiment/laterality/edits/sample_2971_edited.png,experiment/laterality/edits/sample_2971_reversed.png,right,left,4.784473,0.007204
sample_2972,experiment/laterality/edits/sample_2972_original.png,experiment/laterality/edits/sample_2972_edited.png,experiment/laterality/edits/sample_2972_reversed.png,left,right,4.845668,0.003359
sample_2973,experiment/laterality/edits/sample_2973_original.png,experiment/laterality/edits/sample_2973_edited.png,experiment/laterality/edits/sample_2973_reversed.png,left,right,4.935862,0.002839
sample_2974,experiment/laterality/edits/sample_2974_original.png,experiment/laterality/edits/sample_2974_edited.png,experiment/laterality/edits/sample_2974_reversed.png,right,left,4.298224,0.003278
sample_2975,experiment/laterality/edits/sample_2975_original.png,experiment/laterality/edits/sample_2975_edited.png,experiment/laterality/edits/sample_2975_reversed.png,right,left,4.798501,0.004036
sample_2976,experiment/laterality/edits/sample_2976_original.png,experiment/laterality/edits/sample_2976_edited.png,experiment/laterality/edits/sample_2976_reversed.png,left,right,4.146218,0.001909
sample_2977,experiment/laterality/edits/sample_2977_original.png,experiment/laterality/edits/sample_2977_edited.png,experiment/laterality/edits/sample_2977_reversed.png,left,right,5.134784,0.003377
sample_2978,experiment/laterality/edits/sample_2978_original.png,experiment/laterality/edits/sample_2978_edited.png,experiment/laterality/edits/sample_2978_reversed.png,right,left,5.184820,0.003508
sample_2979,experiment/laterality/edits/sample_2979_original.png,experiment/laterality/edits/sample_2979_edited.png,experiment/laterality/edits/sample_2979_reversed.png,left,right,4.336747,0.002963
sample_2980,experiment/laterality/edits/sample_2980_original.png,experiment/laterality/edits/sample_2980_edited.png,experiment/laterality/edits/sample_2980_reversed.png,right,left,4.221802,0.004400
sample_2981,experiment/laterality/edits/sample_2981_original.png,experiment/laterality/edits/sample_2981_edited.png,experiment/laterality/edits/sample_2981_reversed.png,right,left,4.611143,0.005524
sample_2982,experiment/laterality/edits/sample_2982_original.png,experiment/laterality/edits/sample_2982_edited.png,experiment/laterality/edits/sample_2982_reversed.png,right,left,4.268883,0.003278
sample_2983,experiment/laterality/edits/sample_2983_original.png,experiment/laterality/edits/sample_2983_edited.png,experiment/laterality/edits/sample_2983_reversed.png,right,left,4.836065,0.003519
sample_2984,experiment/laterality/edits/sample_2984_original.png,experiment/laterality/edits/sample_2984_edited.png,experiment/laterality/edits/sample_2984_reversed.png,right,left,4.668155,0.003438
