sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_024,experiment/gene_36class/edits/sample_024_original.png,experiment/gene_36class/edits/sample_024_edited.png,experiment/gene_36class/edits/sample_024_reversed.png,gene0,gene35,7.590948,0.001763
sample_025,experiment/gene_36class/edits/sample_025_original.png,experiment/gene_36class/edits/sample_025_edited.png,experiment/gene_36class/edits/sample_025_reversed.png,gene0,gene35,7.077942,0.001563
sample_026,experiment/gene_36class/edits/sample_026_original.png,experiment/gene_36class/edits/sample_026_edited.png,experiment/gene_36class/edits/sample_026_reversed.png,gene0,gene35,8.422756,0.002027
sample_027,experiment/gene_36class/edits/sample_027_original.png,experiment/gene_36class/edits/sample_027_edited.png,experiment/gene_36class/edits/sample_027_reversed.png,gene0,gene35,8.495788,0.002138
sample_028,experiment/gene_36class/edits/sample_028_original.png,experiment/gene_36class/edits/sample_028_edited.png,experiment/gene_36class/edits/sample_028_reversed.png,gene0,gene35,8.618762,0.001690
sample_029,experiment/gene_36class/edits/sample_029_original.png,experiment/gene_36class/edits/sample_029_edited.png,experiment/gene_36class/edits/sample_029_reversed.png,gene0,gene35,8.017983,0.001686
sample_030,experiment/gene_36class/edits/sample_030_original.png,experiment/gene_36class/edits/sample_030_edited.png,experiment/gene_36class/edits/sample_030_reversed.png,gene0,gene35,7.667694,0.001173
sample_031,experiment/gene_36class/edits/sample_031_original.png,experiment/gene_36class/edits/sample_031_edited.png,experiment/gene_36class/edits/sample_031_reversed.png,gene0,gene35,7.659385,0.001362
sample_032,experiment/gene_36class/edits/sample_032_original.png,experiment/gene_36class/edits/sample_032_edited.png,experiment/gene_36class/edits/sample_032_reversed.png,gene0,gene35,7.114010,0.001435
sample_033,experiment/gene_36class/edits/sample_033_original.png,experiment/gene_36class/edits/sample_033_edited.png,experiment/gene_36class/edits/sample_033_reversed.png,gene0,gene35,8.276712,0.001842
sample_034,experiment/gene_36class/edits/sample_034_original.png,experiment/gene_36class/edits/sample_034_edited.png,experiment/gene_36class/edits/sample_034_reversed.png,gene0,gene35,8.665804,0.002037
sample_035,experiment/gene_36class/edits/sample_035_original.png,experiment/gene_36class/edits/sample_035_edited.png,experiment/gene_36class/edits/sample_035_reversed.png,gene0,gene35,7.646578,0.001498
sample_036,experiment/gene_36class/edits/sample_036_original.png,experiment/gene_36class/edits/sample_036_edited.png,experiment/gene_36class/edits/sample_036_reversed.png,gene0,gene35,8.016931,0.001498
sample_037,experiment/gene_36class/edits/sample_037_original.png,experiment/gene_36class/edits/sample_037_edited.png,experiment/gene_36class/edits/sample_037_reversed.png,gene0,gene35,8.014952,0.002302
sample_038,experiment/gene_36class/edits/sample_038_original.png,experiment/gene_36class/edits/sample_038_edited.png,experiment/gene_36class/edits/sample_038_reversed.png,gene0,gene35,7.580908,0.001270
sample_039,experiment/gene_36class/edits/sample_039_original.png,experiment/gene_36class/edits/sample_039_edited.png,experiment/gene_36class/edits/sample_039_reversed.png,gene0,gene35,8.217020,0.002084
sample_040,experiment/gene_36class/edits/sample_040_original.png,experiment/gene_36class/edits/sample_040_edited.png,experiment/gene_36class/edits/sample_040_reversed.png,gene0,gene35,7.850023,0.001356
sample_041,experiment/gene_36class/edits/sample_041_original.png,experiment/gene_36class/edits/sample_041_edited.png,experiment/gene_36class/edits/sample_041_reversed.png,gene0,gene35,8.447951,0.001840
sample_042,experiment/gene_36class/edits/sample_042_original.png,experiment/gene_36class/edits/sample_042_edited.png,experiment/gene_36class/edits/sample_042_reversed.png,gene0,gene35,8.289271,0.001825
sample_043,experiment/gene_36class/edits/sample_043_original.png,experiment/gene_36class/edits/sample_043_edited.png,experiment/gene_36class/edits/sample_043_reversed.png,gene0,gene35,7.937698,0.001618
sample_044,experiment/gene_36class/edits/sample_044_original.png,experiment/gene_36class/edits/sample_044_edited.png,experiment/gene_36class/edits/sample_044_reversed.png,gene0,gene35,7.973406,0.001522
sample_045,experiment/gene_36class/edits/sample_045_original.png,experiment/gene_36class/edits/sample_045_edited.png,experiment/gene_36class/edits/sample_045_reversed.png,gene0,gene35,8.195581,0.002040
sample_046,experiment/gene_36class/edits/sample_046_original.png,experiment/gene_36class/edits/sample_046_edited.png,experiment/gene_36class/edits/sample_046_reversed.png,gene0,gene35,7.601159,0.001278
sample_047,experiment/gene_36class/edits/sample_047_original.png,experiment/gene_36class/edits/sample_047_edited.png,experiment/gene_36class/edits/sample_047_reversed.png,gene0,gene35,7.620947,0.001338
sample_048,experiment/gene_36class/edits/sample_048_original.png,experiment/gene_36class/edits/sample_048_edited.png,experiment/gene_36class/edits/sample_048_reversed.png,gene0,gene35,7.555657,0.001392
sample_049,experiment/gene_36class/edits/sample_049_original.png,experiment/gene_36class/edits/sample_049_edited.png,experiment/gene_36class/edits/sample_049_reversed.png,gene0,gene35,6.714460,0.001852
sample_000,experiment/gene_36class/edits/sample_000_original.png,experiment/gene_36class/edits/sample_000_edited.png,experiment/gene_36class/edits/sample_000_reversed.png,gene0,gene35,8.394346,0.004558
sample_001,experiment/gene_36class/edits/sample_001_original.png,experiment/gene_36class/edits/sample_001_edited.png,experiment/gene_36class/edits/sample_001_reversed.png,gene0,gene35,7.443709,0.007225
sample_002,experiment/gene_36class/edits/sample_002_original.png,experiment/gene_36class/edits/sample_002_edited.png,experiment/gene_36class/edits/sample_002_reversed.png,gene0,gene35,8.438484,0.003277
sample_003,experiment/gene_36class/edits/sample_003_original.png,experiment/gene_36class/edits/sample_003_edited.png,experiment/gene_36class/edits/sample_003_reversed.png,gene0,gene35,8.056259,0.002990
sample_004,experiment/gene_36class/edits/sample_004_original.png,experiment/gene_36class/edits/sample_004_edited.png,experiment/gene_36class/edits/sample_004_reversed.png,gene0,gene35,6.497025,0.005285
sample_005,experiment/gene_36class/edits/sample_005_original.png,experiment/gene_36class/edits/sample_005_edited.png,experiment/gene_36class/edits/sample_005_reversed.png,gene0,gene35,8.198233,0.004915
sample_006,experiment/gene_36class/edits/sample_006_original.png,experiment/gene_36class/edits/sample_006_edited.png,experiment/gene_36class/edits/sample_006_reversed.png,gene0,gene35,7.515446,0.002833
sample_007,experiment/gene_36class/edits/sample_007_original.png,experiment/gene_36class/edits/sample_007_edited.png,experiment/gene_36class/edits/sample_007_reversed.png,gene0,gene35,8.301665,0.003439
sample_008,experiment/gene_36class/edits/sample_008_original.png,experiment/gene_36class/edits/sample_008_edited.png,experiment/gene_36class/edits/sample_008_reversed.png,gene0,gene35,8.589658,0.009612
sample_009,experiment/gene_36class/edits/sample_009_original.png,experiment/gene_36class/edits/sample_009_edited.png,experiment/gene_36class/edits/sample_009_reversed.png,gene0,gene35,8.380247,0.006267
sample_010,experiment/gene_36class/edits/sample_010_original.png,experiment/gene_36class/edits/sample_010_edited.png,experiment/gene_36class/edits/sample_010_reversed.png,gene0,gene35,6.912591,0.003623
sample_011,experiment/gene_36class/edits/sample_011_original.png,experiment/gene_36class/edits/sample_011_edited.png,experiment/gene_36class/edits/sample_011_reversed.png,gene0,gene35,7.356604,0.002328
sample_012,experiment/gene_36class/edits/sample_012_original.png,experiment/gene_36class/edits/sample_012_edited.png,experiment/gene_36class/edits/sample_012_reversed.png,gene0,gene35,8.897939,0.003172
sample_013,experiment/gene_36class/edits/sample_013_original.png,experiment/gene_36class/edits/sample_013_edited.png,experiment/gene_36class/edits/sample_013_reversed.png,gene0,gene35,7.756962,0.003814
sample_014,experiment/gene_36class/edits/sample_014_original.png,experiment/gene_36class/edits/sample_014_edited.png,experiment/gene_36class/edits/sample_014_reversed.png,gene0,gene35,9.003451,0.002313
sample_015,experiment/gene_36class/edits/sample_015_original.png,experiment/gene_36class/edits/sample_015_edited.png,experiment/gene_36class/edits/sample_015_reversed.png,gene0,gene35,7.825125,0.004762
sample_016,experiment/gene_36class/edits/sample_016_original.png,experiment/gene_36class/edits/sample_016_edited.png,experiment/gene_36class/edits/sample_016_reversed.png,gene0,gene35,7.999289,0.002772
sample_017,experiment/gene_36class/edits/sample_017_original.png,experiment/gene_36class/edits/sample_017_edited.png,experiment/gene_36class/edits/sample_017_reversed.png,gene0,gene35,7.278221,0.003533
sample_018,experiment/gene_36class/edits/sample_018_original.png,experiment/gene_36class/edits/sample_018_edited.png,experiment/gene_36class/edits/sample_018_reversed.png,gene0,gene35,8.039472,0.004474
sample_019,experiment/gene_36class/edits/sample_019_original.png,experiment/gene_36class/edits/sample_019_edited.png,experiment/gene_36class/edits/sample_019_reversed.png,gene0,gene35,7.949994,0.007015
sample_020,experiment/gene_36class/edits/sample_020_original.png,experiment/gene_36class/edits/sample_020_edited.png,experiment/gene_36class/edits/sample_020_reversed.png,gene0,gene35,8.753910,0.003423
sample_021,experiment/gene_36class/edits/sample_021_original.png,experiment/gene_36class/edits/sample_021_edited.png,experiment/gene_36class/edits/sample_021_reversed.png,gene0,gene35,8.327918,0.003561
sample_022,experiment/gene_36class/edits/sample_022_original.png,experiment/gene_36class/edits/sample_022_edited.png,experiment/gene_36class/edits/sample_022_reversed.png,gene0,gene35,7.300827,0.002779
sample_023,experiment/gene_36class/edits/sample_023_original.png,experiment/gene_36class/edits/sample_023_edited.png,experiment/gene_36class/edits/sample_023_reversed.png,gene0,gene35,8.106441,0.003956
sample_024,experiment/gene_36class/edits/sample_024_original.png,experiment/gene_36class/edits/sample_024_edited.png,experiment/gene_36class/edits/sample_024_reversed.png,gene0,gene35,8.595028,0.004541
sample_025,experiment/gene_36class/edits/sample_025_original.png,experiment/gene_36class/edits/sample_025_edited.png,experiment/gene_36class/edits/sample_025_reversed.png,gene0,gene35,8.617342,0.003540
sample_026,experiment/gene_36class/edits/sample_026_original.png,experiment/gene_36class/edits/sample_026_edited.png,experiment/gene_36class/edits/sample_026_reversed.png,gene0,gene35,9.723854,0.004648
sample_027,experiment/gene_36class/edits/sample_027_original.png,experiment/gene_36class/edits/sample_027_edited.png,experiment/gene_36class/edits/sample_027_reversed.png,gene0,gene35,8.355192,0.003598
sample_028,experiment/gene_36class/edits/sample_028_original.png,experiment/gene_36class/edits/sample_028_edited.png,experiment/gene_36class/edits/sample_028_reversed.png,gene0,gene35,7.705164,0.002667
sample_029,experiment/gene_36class/edits/sample_029_original.png,experiment/gene_36class/edits/sample_029_edited.png,experiment/gene_36class/edits/sample_029_reversed.png,gene0,gene35,7.064891,0.002790
sample_030,experiment/gene_36class/edits/sample_030_original.png,experiment/gene_36class/edits/sample_030_edited.png,experiment/gene_36class/edits/sample_030_reversed.png,gene0,gene35,8.353059,0.003070
sample_031,experiment/gene_36class/edits/sample_031_original.png,experiment/gene_36class/edits/sample_031_edited.png,experiment/gene_36class/edits/sample_031_reversed.png,gene0,gene35,7.873931,0.003063
sample_032,experiment/gene_36class/edits/sample_032_original.png,experiment/gene_36class/edits/sample_032_edited.png,experiment/gene_36class/edits/sample_032_reversed.png,gene0,gene35,6.887548,0.002643
sample_033,experiment/gene_36class/edits/sample_033_original.png,experiment/gene_36class/edits/sample_033_edited.png,experiment/gene_36class/edits/sample_033_reversed.png,gene0,gene35,7.515502,0.003771
sample_034,experiment/gene_36class/edits/sample_034_original.png,experiment/gene_36class/edits/sample_034_edited.png,experiment/gene_36class/edits/sample_034_reversed.png,gene0,gene35,8.249317,0.003072
sample_035,experiment/gene_36class/edits/sample_035_original.png,experiment/gene_36class/edits/sample_035_edited.png,experiment/gene_36class/edits/sample_035_reversed.png,gene0,gene35,8.429954,0.004050
sample_036,experiment/gene_36class/edits/sample_036_original.png,experiment/gene_36class/edits/sample_036_edited.png,experiment/gene_36class/edits/sample_036_reversed.png,gene0,gene35,8.430901,0.003545
sample_037,experiment/gene_36class/edits/sample_037_original.png,experiment/gene_36class/edits/sample_037_edited.png,experiment/gene_36class/edits/sample_037_reversed.png,gene0,gene35,7.852054,0.002862
sample_038,experiment/gene_36class/edits/sample_038_original.png,experiment/gene_36class/edits/sample_038_edited.png,experiment/gene_36class/edits/sample_038_reversed.png,gene0,gene35,8.824149,0.003837
sample_039,experiment/gene_36class/edits/sample_039_original.png,experiment/gene_36class/edits/sample_039_edited.png,experiment/gene_36class/edits/sample_039_reversed.png,gene0,gene35,7.399697,0.003281
